station id,station name,latitude,longitude,zipcode,burrough,city,county,state
3616,Steinway St & 28 Ave,40.7656251,-73.9136695,11103,Queens,,Queens County,New York
3875,Stephen St & Seneca Ave,40.6988,-73.9007,11385,Queens,,Queens County,New York
3579,Sterling Pl & Bedford Ave,40.672695000000004,-73.954131,11216,Brooklyn,,Kings County,New York
3601,Sterling St & Bedford Ave,40.6627059,-73.9569115,11225,Brooklyn,,Kings County,New York
3852,Stewart Ave & Johnson Ave,40.708690000000004,-73.92586999999999,11237,Brooklyn,,Kings County,New York
3777,Stockholm St & Wilson Ave,40.699304,-73.92304399999999,11237,Brooklyn,,Kings County,New York
3793,Stuyvesant Walk & 1 Av Loop,40.73233978,-73.97898383,10009,Manhattan,New York,New York County,New York
410,Suffolk St & Stanton St,40.72066442,-73.98517977,10002,Manhattan,New York,New York County,New York
3596,Sullivan Pl & Bedford Ave,40.6642406,-73.9574686,11225,Brooklyn,,Kings County,New York
336,Sullivan St & Washington Sq,40.73047747,-73.99906065,10012,Manhattan,New York,New York County,New York
3848,Suydam St & Broadway,40.695440000000005,-73.93223,11221,Brooklyn,,Kings County,New York
3775,Suydam St & Knickerbocker Ave,40.702013,-73.923769,11237,Brooklyn,,Kings County,New York
3849,Suydam St & St. Nicholas Ave,40.70636,-73.91945,11237,Brooklyn,,Kings County,New York
3061,Throop Ave & Myrtle Ave,40.69622937,-73.94371094,11206,Brooklyn,,Kings County,New York
3066,Tompkins Ave & Hopkins St,40.69957608,-73.94708417,11206,Brooklyn,,Kings County,New York
3581,Underhill Ave & Lincoln Pl,40.674012299999994,-73.9671457,11238,Brooklyn,,Kings County,New York
3544,Underhill Ave & Pacific St,40.6804836,-73.9646795,11238,Brooklyn,,Kings County,New York
3088,Union Ave & Jackson St,40.7160751,-73.95202900000001,11211,Brooklyn,,Kings County,New York
3096,Union Ave & N 12 St,40.71924,-73.95241999999999,11211,Brooklyn,,Kings County,New York
3065,Union Ave & Wallabout St,40.70029511,-73.95032283,11206,Brooklyn,,Kings County,New York
3335,Union St & 4 Ave,40.6772744,-73.98282002,11215,Brooklyn,,Kings County,New York
3585,Union St & Bedford Ave,40.6691783,-73.9554162,11225,Brooklyn,,Kings County,New York
3407,Union St & Nevins St,40.679097999999996,-73.98765475,11215,Brooklyn,,Kings County,New York
3812,University Pl & E 14 St,40.734814,-73.992085,10003,Manhattan,New York,New York County,New York
3244,University Pl & E 8 St,40.73143724,-73.99490342,10003,Manhattan,New York,New York County,New York
3676,Van Brunt St & Van Dyke St,40.67583294,-74.01472628,11231,Brooklyn,,Kings County,New York
3347,Van Brunt St & Wolcott St,40.6773429,-74.01275056,11231,Brooklyn,,Kings County,New York
3869,Van Buren St & Broadway,40.692,-73.92617,11221,Brooklyn,,Kings County,New York
3824,Van Sinderen Ave & Truxton St,40.6786,-73.90369,11233,Brooklyn,,Kings County,New York
3588,Vernon Blvd & 10 St,40.7671863,-73.9373554,11106,Queens,,Queens County,New York
3610,Vernon Blvd & 30 Rd,40.770845,-73.93417099999999,11102,Queens,,Queens County,New York
3609,Vernon Blvd & 31 Ave,40.7692475,-73.93545040000001,11102,Queens,,Queens County,New York
3554,Vernon Blvd & 41 Rd,40.7552433,-73.94856779999999,11101,Queens,,Queens County,New York
3611,Vernon Blvd & 47 Rd,40.7449067,-73.9534573,11101,Queens,,Queens County,New York
3119,Vernon Blvd & 50 Ave,40.74232744,-73.95411749,11101,Queens,,Queens County,New York
3249,Verona Pl & Fulton St,40.68035608,-73.9476791,11216,Brooklyn,,Kings County,New York
327,Vesey Pl & River Terrace,40.715337899999994,-74.01658354,10282,Manhattan,New York,New York County,New York
3350,W 100 St & Broadway,40.797372100000004,-73.97041192,10025,Manhattan,New York,New York County,New York
3328,W 100 St & Manhattan Ave,40.795,-73.9645,10025,Manhattan,New York,New York County,New York
3689,W 104 St & Amsterdam Ave,40.79904139,-73.96649479999999,10025,Manhattan,New York,New York County,New York
3357,W 106 St & Amsterdam Ave,40.80083629999999,-73.96644925,10025,Manhattan,New York,New York County,New York
3323,W 106 St & Central Park West,40.798185600000004,-73.96059090000001,10025,Manhattan,New York,New York County,New York
3343,W 107 St & Columbus Ave,40.7997568,-73.96211287,10025,Manhattan,New York,New York County,New York
254,W 11 St & 6 Ave,40.73532427,-73.99800419,10011,Manhattan,New York,New York County,New York
3538,W 110 St & Amsterdam Ave,40.802692,-73.96295,10025,Manhattan,New York,New York County,New York
3552,W 113 St & Broadway,40.805973,-73.964928,10025,Manhattan,New York,New York County,New York
3539,W 116 St & Amsterdam Ave,40.8067581,-73.9607082,10027,Manhattan,New York,New York County,New York
3536,W 116 St & Broadway,40.8082,-73.9641,10027,Manhattan,New York,New York County,New York
3623,W 120 St & Claremont Ave,40.8109494,-73.9634,10027,Manhattan,New York,New York County,New York
3649,W 129 St & Convent Ave,40.81439444,-73.95324737,10027,Manhattan,New York,New York County,New York
3708,W 13 St & 5 Ave,40.735445,-73.99431,10011,Manhattan,New York,New York County,New York
223,W 13 St & 7 Ave,40.73781509,-73.99994661,10011,Manhattan,New York,New York County,New York
3472,W 15 St & 10 Ave,40.74275383,-74.00747359,10011,Manhattan,New York,New York County,New York
3709,W 15 St & 6 Ave,40.73804614,-73.99642959,10011,Manhattan,New York,New York County,New York
482,W 15 St & 7 Ave,40.73935542,-73.99931783,10011,Manhattan,New York,New York County,New York
212,W 16 St & The High Line,40.74334935,-74.00681753,10011,Manhattan,New York,New York County,New York
116,W 17 St & 8 Ave,40.74177603,-74.00149746,10011,Manhattan,New York,New York County,New York
168,W 18 St & 6 Ave,40.73971301,-73.99456405,10011,Manhattan,New York,New York County,New York
3658,W 18 St & 9 Ave,40.74353373,-74.00367558,10011,Manhattan,New York,New York County,New York
459,W 20 St & 11 Ave,40.746745000000004,-74.007756,10011,Manhattan,New York,New York County,New York
334,W 20 St & 7 Ave,40.74238787,-73.99726235,10011,Manhattan,New York,New York County,New York
470,W 20 St & 8 Ave,40.74345335,-74.00004031,10011,Manhattan,New York,New York County,New York
435,W 21 St & 6 Ave,40.74173969,-73.99415556,10011,Manhattan,New York,New York County,New York
462,W 22 St & 10 Ave,40.74691959,-74.00451887,10011,Manhattan,New York,New York County,New York
453,W 22 St & 8 Ave,40.74475148,-73.99915362,10011,Manhattan,New York,New York County,New York
446,W 24 St & 7 Ave,40.74487634,-73.99529885,10011,Manhattan,New York,New York County,New York
466,W 25 St & 6 Ave,40.74395411,-73.99144871,10010,Manhattan,New York,New York County,New York
388,W 26 St & 10 Ave,40.74971775,-74.00295035,10001,Manhattan,New York,New York County,New York
494,W 26 St & 8 Ave,40.74734825,-73.99723551,10001,Manhattan,New York,New York County,New York
442,W 27 St & 7 Ave,40.746646999999996,-73.993915,10001,Manhattan,New York,New York County,New York
379,W 31 St & 7 Ave,40.749156,-73.9916,10001,Manhattan,New York,New York County,New York
492,W 33 St & 7 Ave,40.75019995,-73.99093085,10001,Manhattan,New York,New York County,New York
525,W 34 St & 11 Ave,40.75594159,-74.0021163,10001,Manhattan,New York,New York County,New York
3712,W 35 St & Dyer Ave,40.75469175,-73.99740189,10001,Manhattan,New York,New York County,New York
448,W 37 St & 10 Ave,40.75660359,-73.9979009,10018,Manhattan,New York,New York County,New York
485,W 37 St & 5 Ave,40.75038009,-73.98338988,10018,Manhattan,New York,New York County,New York
523,W 38 St & 8 Ave,40.75466591,-73.99138152,10018,Manhattan,New York,New York County,New York
380,W 4 St & 7 Ave S,40.73401143,-74.00293877,10014,Manhattan,New York,New York County,New York
3798,W 40 St & 5 Ave,40.752269,-73.982079,10018,Manhattan,New York,New York County,New York
477,W 41 St & 8 Ave,40.75640548,-73.9900262,10036,Manhattan,New York,New York County,New York
3785,W 42 St & 6 Ave,40.75492,-73.98455,10036,Manhattan,New York,New York County,New York
529,W 42 St & 8 Ave,40.75756989999999,-73.99098507,10036,Manhattan,New York,New York County,New York
3236,W 42 St & Dyer Ave,40.75898481,-73.99379969,10036,Manhattan,New York,New York County,New York
515,W 43 St & 10 Ave,40.76009437,-73.99461843,10036,Manhattan,New York,New York County,New York
484,W 44 St & 5 Ave,40.75500254,-73.98014437,10036,Manhattan,New York,New York County,New York
